id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content
{A1Q5-L1WP71FD-0960DNOR},01/05/2010 15:02:48,SRS0129,PC-7008,C:\SRS0129\PZMVWY6R.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 She typically praised books that encouraged intellectual instruction, such as Anna Barbauld's Lessons for Children (1778-79). In 1793, she sent twelve copies of her treatise Reflections upon the Education in Charity Schools with the Outlines of a Plan Appropriate Instruction for the Children of the Poor to the subcommittee that chose the books funded by the organization. Many of these were eaten daily by peasants and workers, but were less prestigious than meat. The image of nobles gumming their way through multi-course meals of nothing but mush has lived side by side with the contradictory apparition of the ""mob of uncouth louts (disguised as noble lords) who, when not actually hurling huge joints of greasy meat at one another across the banquet hall, are engaged in tearing at them with a perfectly healthy complement of incisors, canines, bicuspids and molars""."
{G5O3-K2PG74KY-3486YOGQ},01/04/2010 09:07:53,ILY3152,PC-2436,R:\59G9H35\09TUU9J1.pdf,File Copy,True,False,"25-50-44-46-2D From late 1940 to 1944, the number of inmates per bed rose from 2 to 4. When the Allied strategic bombing campaign started to target the German war industry, German planners decided to move production to underground facilities that were impenetrable to enemy aerial bombardment."
{W8J9-K3GX95TL-6997VAAP},01/05/2010 10:53:26,TKS3035,PC-3025,R:\56Kg883\EUIKTR77.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Buxhowden, the commander of the Allied left and the man responsible for leading the attack, was completely drunk and fled as well. The French followed, but soon found themselves in an unenviable disposition: Prussian intentions were unknown and could be hostile, the Russian and Austrian armies now converged, and to add to Napoleon's challenges, the French lines of communication were extremely long and required strong garrisons to keep them open. In December 1804, an Anglo-Swedish agreement led to the creation of the Third Coalition."
{R8L5-F5JC49VO-9431HEYU},01/03/2010 15:25:36,BDR0510,PC-1197,R:\BDR0510\MTGYCIU6.pdf,File Copy,True,False,"25-50-44-46-2D In 1931 Baden-Powell received the highest award of the First Austrian Republic (Gro?es Ehrenzeichen der Republik am Bande) out of the hands of President Wilhelm Miklas.{rp |101} Baden-Powell was also one of the first and few recipients of the Goldene Gemse, the highest award conferred by the Osterreichischer Pfadfinderbund. Today their friendship is honoured in perpetuity with the dedication of the adjoining peak, Mount Burnham. The 2000 Sri Lanka Cyclone, (IMD designation: BOB 06 JTWC designation:04B), was the strongest tropical cyclone to strike Sri Lanka since 1978. The storm was also the first December tropical cyclone of hurricane intensity in the Bay of Bengal since 1996."
{I8W0-O3ES20WP-3940LTAX},01/06/2010 10:22:55,DGQ3744,PC-0311,R:\DGQ3744\QVVMT58U.doc,File Copy,True,False,"D0-CF-11-E0-A1-B1-1A-E1 The results suggest that based on the restriction fragment length polymorphism patterns observed, there are four global A. gallica subpopulations: the Chinese, European, North American-Chinese, and North American-European geographical lineages. The whitish-gray malformed fruit bodies that may result are due to the E. abortivum hyphae penetrating the mushroom and disrupting its normal development. Plants that are under water stress caused by dry soils or waterlogging are more susceptible to infection by A. gallica. Bragg and Edmund Kirby Smith proceeded with the invasion nonetheless, while the leaders of Kentucky's Confederate government remained in Chattanooga, Tennessee, awaiting Hawes' return. A July 1861 address to the people of Bourbon County, authored by Hawes and other like-minded Democrats, blamed Republicans for starting the Civil War, denounced the coercion of states to remain in the Union, and warned that the Lincoln administration would fight to end slavery."
{T2F3-U8KO31VT-0975OOCH},01/05/2010 17:19:44,IMR3660,PC-6999,R:\24v56v6\NYO9LG35.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Not in a threatening, scolding way."" In August 2010, Giovanna was moved back to Munich after repairs on her enclosure were completed. Wolfram Graf-Rudolf, the director of the Aachen Zoo, agreed with Albrecht and stated that the zookeepers ""should have had the courage to let the bear die"" after it was rejected, arguing that the bear will ""die a little"" every time it is separated from its caretaker. Hundreds of fans visited the zoo after the bear's death, leaving flowers and mementos near the enclosure."
{W8W1-B0JC39UR-9810DPTI},01/05/2010 15:38:27,MHG3749,PC-0280,R:\MHG3749\WAS3FQUO.doc,File Copy,False,True,"D0-CF-11-E0-A1-B1-1A-E1 The developers had to obtain permission from manufacturers to use the likenesses of the vehicles; Microsoft thus received permission from Volkswagen for the New Beetle and from Ford for the Mustang and F-350. Midtown Madness is a racing game developed for Windows by Angel Studios and published by Microsoft. Winning 2-1, Norwich are the only English team to beat Bayern Munich in the Olympic Stadium. City finished this and the following season in 21st place, the poor results forcing the club to apply for re-election to the league."
{K8B1-J9JC80WJ-6765NFWQ},01/04/2010 10:57:59,CRM0139,PC-8757,R:\539rL59\YN0J5DH3.pdf,File Copy,True,False,"25-50-44-46-2D Several players from each team were selected in the 2005 NFL Draft and went on to careers in the National Football League. The Virginia Tech Hokies entered the 2004 college football season having gone 8-5 in 2003, culminating with a 52-49 loss to California in the 2003 Insight Bowl. After Auburn's kickoff, Virginia Tech started its first drive of the second half at its 20-yard line. He was found guilty of both offences, and sentenced to be reduced to the rank of corporal. The 12th Battalion spent the next two months engaged in minor operations in Belgium, before once again transferring to the trenches in France during December."
{G3C3-L5PD63FU-9582JLFS},01/07/2010 11:29:21,FRM3431,PC-6722,C:\FRM3431\9RDRXASF.doc,File Open,False,False,"D0-CF-11-E0-A1-B1-1A-E1 Inflexible opened fire at 8:20, followed almost immediately by the rest of Beatty's battlecruisers. The fast battlecruisers would actually conduct the bombardment while the entire High Seas Fleet was to station itself east of Dogger Bank to provide cover for their return and to destroy any elements of the Royal Navy that responded to the raid."
{U9D6-N5EN63BB-3595CCFX},01/05/2010 09:51:23,PDG2607,PC-5677,R:\WM3F1K5T.pdf,File Open,False,True,"25-50-44-46-2D The bank lasted until 1914. Although Harvey was financially successful at silver mining in Colorado, Monte Ne seems to have been funded mostly by the sales of Harvey's writings which dealt with the subject of free silver."
