id,date,user,pc,url,activity,content
{C8L3-V7BT35GJ-3741ASFK},01/02/2010 14:02:33,LCC1963,PC-1027,http://hubspot.com/Utah_State_Route_128/kokopelli/Uneel_GebggJvypb401354359.htm,WWW Visit,"The South African-born English cricketer Jonathan Trott says he is a distant relation to Harry and Albert Trott. The ACC continued to attract criticism for being ineffectual and at a meeting of the Victorian Cricket Association in July 1898, Trott (in his capacity as a delegate for the South Melbourne club) tabled a motion that Victoria secede from the ACC. Although Tweedy was indifferent to the offer, Bennett was enthused about recording songs of one of his idols-Bennett's previous band Titanic Love Affair was named after a Billy Bragg lyric. Bennett believed that Bragg was overproducing his songs, a sharp contrast to Wilco's sparser contributions."
{R5E1-B1TL97WP-3937CAUC},01/02/2010 08:44:28,ATT1191,PC-2057,http://domaintools.com/Ross_Perot_presidential_campaign_1992/riney/Znapurfgre_FznyyFpnyr_Rkcrevzragny_ZnpuvarHFF_Fvobarl_VQ2999707116690.php,WWW Visit,"A dash generated a positive charge, and a dot a negative charge, either of which could be picked up by a detector plate in front of the screen; a negative charge represented 0, and a positive charge 1. Turing proved that if an algorithm can be written to solve a mathematical problem, then a Turing machine can execute that algorithm. The ENIAC (1946) was the first machine that was both electronic and general purpose. The New York section of the convoy joined two days later and the ships entered the war zone on 6 June. In early December 1942 Siboney departed for Newfoundland but put into Halifax for two months of drydocking and repairs after she collided with SS City of Kimberly."
{D4T5-Z0TX04MG-3718PMQQ},01/02/2010 12:49:12,EDJ1970,PC-1301,http://guardian.co.uk/Thoroughbred/thoroughbred/Grzcyr_Vfenry_Zrzcuvf_Graarffrrryrpgvba1497626668.html,WWW Visit,"Wolf recovers and is given a ""Hero Cup"" trophy, to the Boy's delight. Long purchased the work for Red Book for $200 and it was published in the January 1916 issue. Within the novel, despite disliking shows and being an ""old style"" collie, Lad's ""sheer noble nature"" enables him to win despite the going preferences for ""more superficial qualities"". Many Memphis schools were forced to close because of the Civil War; in response, B'nai Israel established the Hebrew Educational Institute in 1864. {As of|2010}, Micah Greenstein is the senior rabbi, with Adam Grossman and Katie Bauman as assistant rabbis, Harry Danziger as rabbi emeritus, and John Kaplan as cantor."
{L7L2-K8TH89CO-4400MEMC},01/02/2010 08:15:59,SFC2336,PC-1921,http://perezhilton.com/Procellariidae/fulmarine/Rqjneq_Gryyre1102843657.htm,WWW Visit,"Carey Sublette of Nuclear Weapon Archive argues that Ulam came up with the radiation implosion compression design of thermonuclear weapons, but that on the other hand Teller has gotten little credit for being the first to propose fusion boosting in 1945, which is essential for miniaturization and reliability and is used in all of today's nuclear weapons. The model of Teller's ""classical Super"" was so uncertain that Oppenheimer would later say that he wished the Russians were building their own hydrogen bomb based on that design, so that it would almost certainly retard their progress on it. About his work on the hydrogen bomb, Bethe said:"
{V6H1-G9KX32SM-7653CHFK},01/02/2010 15:48:23,NDK3436,PC-9671,http://thedailybeast.com/Ambondro_mahabo/australosphenidans/Oebpxjnl_Zbhagnva_Qevir610310592.jsp,WWW Visit,"The road was constructed by the county road commission, the Works Project Administration (WPA) and the Civilian Conservation Corps (CCC) in 1933. Brockway Mountain was named for David D. Brockway, one of the pioneer residents of the area. Since it opened, Brockway Mountain Drive has been recognized nationally and locally in several media outlets for its picturesque qualities, usually in profiles of Keweenaw County, the Upper Peninsula or other scenic drives."
{K4T9-V0TK45EX-8842VSCU},01/02/2010 14:43:54,KPB1123,PC-2997,http://citrixonline.com/Messiah_Handel/jennenss/Ohvyqvatf_bs_Wrfhf_Pbyyrtr_BksbeqGnxr_Vpuv_pbaibl62256209.php,WWW Visit,"Dykers regained contact at midday after sighting Shirataka's heavy smoke exhaust and surfaced an hour before sunset to get into an attack position. The officers believed that Japan's communication codes were secure and discussed alternative explanations for the convoy's detection. These losses included several transport ships carrying reinforcements to the Marianas and Carolines. It is reached by ""an ingenious and graceful spiral staircase"". Some of the woodwork was transferred to St Edern's Church, Bodedern, in Anglesey, which had links with the college from 1648 until the Church in Wales was disestablished in 1920."
{O2N5-H7GY38DI-0080TTEO},01/02/2010 14:15:35,BOV1609,PC-3155,http://btjunkie.org/Nuthatch/krpers/Vpr_ubpxrl_ng_gur_Bylzcvp_TnzrfZbezba_unaqpneg_cvbarref2096783391.aspx,WWW Visit,"A number of lessons had been learned from the 1856 disaster that allowed the Church to continue the handcart system while avoiding another disaster. The first two companies arrived in Salt Lake City on September 26 and the third followed less than a week later. Slovakia and Finland both finished the preliminary round undefeated. In 2008, the IIHF picked the Miracle on Ice as the top international hockey story of the past 100 years."
{L5R4-W2ZA55LW-4856LVSK},01/02/2010 09:15:22,KCW2117,PC-8304,http://capitalone.com/Tibet_during_the_Ming_Dynasty/altan/Vna_Qbhtnyq_ZpYnpuyna1241661963.asp/JV6B1QHX.doc,WWW Download,"D0-CF-11-E0-A1-B1-1A-E1 Air Officer Commanding-in-Chief RAF Middle East, Air Marshal Sir Arthur Longmore, praised McLachlan and his squadron for their ""high morale and adaptability to desert conditions"". In 1959, McLachlan chaired a committee to review the change in the RAAF's command structure that had taken place in 1953-54, from a geographically based ""area"" system to a functional system consisting of Home, Maintenance, and Training Commands. Born in Melbourne, he was a cadet at the Royal Military College, Duntroon, before joining the Air Force in December 1930. As AOC Training Command, McLachlan undertook two reviews that would have ""a significant effect on the Air Force of the 1960s""."
{V7E8-F3NJ81BK-2574BRMB},01/03/2010 09:02:17,THF2879,PC-2467,http://monster.com/Belgrade/partizan/Beqre_bs_gur_OnguEbtre_Jngref1307392471.html,WWW Visit,"From at least 1625, and possibly from the reign of James I, Knights of the Bath were using the motto Tria iuncta in uno (Latin for ""Three joined in one""), and wearing as a badge three crowns within a plain gold oval. In the early medieval period the difference seems to have been that the full ceremonies were used for men from more prominent families. By his own estimate, he lost ?400,000 on the tour. During this tour, at The O2 Arena in London on 12 May 2011, Gilmour and Mason once again appeared with Waters, Gilmour performing ""Comfortably Numb"", and Gilmour and Mason joining Waters for ""Outside the Wall""."
{T8V8-V6DD72MF-4784SGAH},01/02/2010 12:21:56,RJH0219,PC-3959,http://elance.com/Keith_Miller_with_the_Australian_cricket_team_in_England_in_1948/strathaird/Evtug_junyrryrpgvba222936282.html,WWW Visit,"The Soviet Union illegally took at least 3,212 Southern right whales during the 1950s and '60s, although it reported taking only four. While Rice continued to list two species in his 1998 classification, Rosenbaum et al. disagreed in 2000 and Brownell et al. in 2001. On a cold October day, the Mistress falls into the lake and develops pneumonia. Considered the novel that ""propelled Terhune to fame"", it has been translated into and published in at least six different languages."
